original,cleaned,no_stopwords,stemmed,lemmatized_spacy
Burkina : le partenariat public-privé se renforce pour accélérer les projets structurants,burkina le partenariat publicprivé se renforce pour accélérer les projets structurants,partenariat publicprivé renforce accélérer projets structurants,partenariat publicpriv renforc accéler projet structur,partenariat publicprivé renforcer accélérer projet structurant
"Burkina/ Évaluation des ministres : 54 %, la moyenne globale après trois jours de bilan",burkina évaluation des ministres la moyenne globale après trois jours de bilan,évaluation ministres moyenne globale après trois jours bilan,évalu ministr moyen global apres trois jour bilan,évaluation ministre moyen global après trois jour bilan
"Burkina/Évaluation des ministres : Jacques Sosthène Dingara affiche un taux d’exécution de 62,15%",burkinaévaluation des ministres jacques sosthène dingara affiche un taux d’exécution de,burkinaévaluation ministres jacques sosthène dingara affiche taux d’exécution,burkinaévalu ministr jacqu sosthen dingar affich taux d ’ exécu,burkinaévaluation ministre jacques sosthène dingara affich tal d’ exécution
